EMPID,AGE,GRADE,Distance_From_Home_KM,TENURE_YRS,Grade_Numeric,Age_Tenure_Factor,Dist_Bin,Status,Resignation_Month_No,Resignation_Month_Name,Grade_Code,ZONE,MAIN_GROUP,Work_Location,Home_Location,Home_State,Office_State,RF_Probability,Regression_Probability,Attrition_Risk_Percentage,Risk_Level,ER manager ID
420474,43,DMII,636,6.3,5,270.9,3,Active,,,5,West,Retail Banking Group,Mumbai,Maharashtra,Gujarat,Telangana,0,1.53,33.36,Low,7777
229595,22,DMII,161,2.7,5,59.400000000000006,2,Active,,,5,East,Retail Banking Group,Kolkata,Uttar Pradesh,Tamil Nadu,West Bengal,0,1.02,31.99,Low,6666
124209,35,DMII,1661,6.9,5,241.5,3,Active,,,5,South,Transaction Banking,Chennai,Uttar Pradesh,Telangana,Tamil Nadu,0,4.07,34.1,Low,9999
181990,36,MMI,492,3.6,6,129.6,3,Active,,,6,South,Retail Banking Group,Chennai,Uttar Pradesh,Delhi,Delhi,0,0.81,20.25,Low,3333
401820,48,MMI,1156,6.5,6,312.0,3,Active,,,6,North,Transaction Banking,New Delhi,Karnataka,Karnataka,Uttar Pradesh,0,1.52,30.31,Low,3333
908029,36,AMII,1131,0.9,3,32.4,3,Active,,,2,North,Retail Banking Group,New Delhi,Delhi,Uttar Pradesh,Tamil Nadu,17,3.54,66.88,Medium,3333
312836,45,DMI,1184,3.7,4,166.5,3,Active,,,4,South,Credit,Chennai,Uttar Pradesh,Maharashtra,Telangana,0,2.8,24.71,Low,3333
518676,37,DMII,1198,5.1,5,188.7,3,Active,,,5,West,Retail Banking Group,Mumbai,Tamil Nadu,Gujarat,West Bengal,0,2.38,53.0,Medium,9999
117258,40,ALT,1811,11.4,9,456.0,3,Active,,,0,West,Wholesale Banking,Mumbai,Gujarat,Tamil Nadu,Tamil Nadu,0,1.31,57.57,Medium,4444
714148,32,AMI,1737,6.5,2,208.0,3,Active,,,1,East,Wholesale Banking,Kolkata,Tamil Nadu,West Bengal,Tamil Nadu,0,12.92,31.07,Low,7777
967396,44,AMII,1222,6.0,3,264.0,3,Active,,,2,West,Transaction Banking,Mumbai,Uttar Pradesh,Tamil Nadu,Gujarat,3,5.1,57.96,Medium,9999
570363,57,DMII,191,3.3,5,188.1,2,Active,,,5,North,Wholesale Banking,New Delhi,Gujarat,Maharashtra,Telangana,1,0.7,37.45,Low,7777
738394,40,AMII,1022,2.1,3,84.0,3,Active,,,2,North,Retail Banking Group,New Delhi,West Bengal,West Bengal,Karnataka,16,3.39,64.8,Medium,9999
520549,32,MMI,1187,7.6,6,243.2,3,Active,,,6,West,Wholesale Banking,Mumbai,Tamil Nadu,Maharashtra,Tamil Nadu,0,2.07,45.36,Medium,3333
822361,39,MMI,1635,5.6,6,218.4,3,Active,,,6,North,Operations Group,New Delhi,Delhi,West Bengal,West Bengal,0,2.34,27.72,Low,4444
568321,30,MMI,1598,1.6,6,48.0,3,Active,,,6,South,Retail Banking Group,Chennai,Delhi,Karnataka,Uttar Pradesh,0,1.86,44.28,Medium,8888
929324,41,DMII,818,0.6,5,24.6,3,Active,,,5,South,Transaction Banking,Chennai,Tamil Nadu,West Bengal,West Bengal,0,1.17,55.94,Medium,6666
340495,36,CM,1565,9.9,8,356.4,3,Active,,,3,West,Retail Banking Group,Mumbai,Uttar Pradesh,Karnataka,Telangana,0,1.48,36.02,Low,5555
567075,27,DMI,686,7.2,4,194.4,3,Active,,,4,South,Wholesale Banking,Chennai,Delhi,Uttar Pradesh,Maharashtra,0,3.08,39.87,Low,4444
974301,32,DMI,1651,5.0,4,160.0,3,Active,,,4,South,Retail Banking Group,Chennai,West Bengal,Delhi,Karnataka,0,5.27,31.13,Low,8888
133877,40,AMI,1253,4.6,2,184.0,3,Active,,,1,East,Retail Banking Group,Kolkata,Maharashtra,Telangana,Maharashtra,0,7.15,50.99,Medium,1111
525487,27,AMII,1227,1.8,3,48.6,3,Active,,,2,East,Retail Banking Group,Kolkata,Uttar Pradesh,Telangana,Maharashtra,26,4.57,53.26,Medium,9999
140630,36,SO,273,1.4,1,248.4,3,Active,,,8,South,Retail Banking Group,Chennai,West Bengal,Delhi,West Bengal,0,3.96,41.69,Medium,1111
737154,56,MMI,1834,5.4,6,302.4,3,Active,,,6,West,Wholesale Banking,Mumbai,Gujarat,Uttar Pradesh,West Bengal,0,2.19,32.9,Low,8888
950608,35,DMI,1690,3.0,4,105.0,3,Active,,,4,East,Transaction Banking,Kolkata,West Bengal,Tamil Nadu,West Bengal,0,4.5,52.18,Medium,4444
544767,26,MMII,929,7.6,7,197.6,3,Active,,,7,North,Retail Banking Group,New Delhi,Uttar Pradesh,Telangana,Gujarat,0,1.23,28.2,Low,9999
436048,27,MMII,1412,8.0,7,216.0,3,Active,,,7,North,Retail Banking Group,New Delhi,Gujarat,Gujarat,Tamil Nadu,0,1.86,23.11,Low,5555
638963,37,CM,1046,7.0,8,259.0,3,Active,,,3,North,Transaction Banking,New Delhi,Uttar Pradesh,Delhi,Tamil Nadu,0,0.76,27.0,Low,3333
582785,26,MMII,580,7.5,7,195.0,3,Active,,,7,West,Retail Banking Group,Mumbai,Delhi,Delhi,West Bengal,0,0.92,44.62,Medium,9999
678455,24,ALT,1346,11.3,9,271.2,3,Active,,,0,South,Wholesale Banking,Chennai,Maharashtra,Gujarat,Telangana,0,1.09,43.47,Medium,9999
102055,38,AMII,752,6.7,3,254.6,3,Active,,,2,North,Operations Group,New Delhi,Uttar Pradesh,Telangana,Telangana,0,3.99,62.08,Medium,4444
667809,38,CM,454,8.7,8,330.6,3,Active,,,3,West,Operations Group,Mumbai,Uttar Pradesh,Gujarat,Gujarat,0,0.53,22.99,Low,4444
123193,26,SO,516,0.9,1,195.0,3,Active,,,8,East,Retail Banking Group,Kolkata,Delhi,Maharashtra,Tamil Nadu,0,5.22,35.87,Low,8888
392354,39,MMI,478,4.6,6,179.4,3,Active,,,6,South,Retail Banking Group,Chennai,Karnataka,West Bengal,West Bengal,0,0.84,29.42,Low,2222
734846,46,DMI,166,7.3,4,335.8,2,Active,,,4,East,Credit,Kolkata,Delhi,West Bengal,Telangana,0,1.61,37.88,Low,9999
679918,32,AMI,987,7.2,2,230.4,3,Active,,,1,West,Transaction Banking,Mumbai,Gujarat,Delhi,West Bengal,0,7.77,49.43,Medium,6666
236528,48,CM,578,7.0,8,336.0,3,Active,,,3,North,Credit,New Delhi,Delhi,Tamil Nadu,West Bengal,0,0.45,56.16,Medium,9999
453994,46,AMI,1080,2.9,2,133.4,3,Active,,,1,North,Retail Banking Group,New Delhi,Delhi,Gujarat,Gujarat,0,5.12,42.7,Medium,8888
827502,37,ALT,1913,13.4,9,495.8,3,Active,,,0,West,Retail Banking Group,Mumbai,Maharashtra,West Bengal,Karnataka,0,1.74,54.51,Medium,7777
676128,43,DMI,747,5.0,4,215.0,3,Active,,,4,North,Wholesale Banking,New Delhi,Delhi,Karnataka,West Bengal,0,2.23,32.43,Low,1111
769014,32,ALT,1499,11.9,9,380.8,3,Active,,,0,South,Wholesale Banking,Chennai,Uttar Pradesh,Delhi,Telangana,0,1.17,38.79,Low,3333
406254,26,DMII,893,4.3,5,111.8,3,Active,,,5,West,Retail Banking Group,Mumbai,Maharashtra,Delhi,Gujarat,94,2.0,99.7,High,2222
939563,22,AMI,857,7.7,2,169.4,3,Active,,,1,East,Transaction Banking,Kolkata,Tamil Nadu,Telangana,Uttar Pradesh,0,8.2,38.15,Low,5555
942713,49,CM,775,8.1,8,396.9,3,Active,,,3,West,Retail Banking Group,Mumbai,Karnataka,Delhi,Tamil Nadu,0,0.57,30.03,Low,5555
914393,54,AMI,443,5.9,2,318.6,3,Active,,,1,South,Wholesale Banking,Chennai,Maharashtra,Gujarat,Uttar Pradesh,0,3.52,30.53,Low,5555
612652,27,AMII,316,3.7,3,99.9,3,Active,,,2,South,Retail Banking Group,Chennai,Gujarat,Telangana,Maharashtra,0,2.55,60.58,Medium,4444
988340,52,MMI,1038,7.3,6,379.6,3,Active,,,6,West,Transaction Banking,Mumbai,Tamil Nadu,Telangana,Gujarat,0,1.4,25.87,Low,5555
427270,53,AMI,275,3.7,2,196.1,3,Active,,,1,West,Operations Group,Mumbai,Maharashtra,Maharashtra,Tamil Nadu,0,2.63,19.04,Low,3333
481374,43,ALT,478,12.7,9,546.1,3,Active,,,0,North,Wholesale Banking,New Delhi,Maharashtra,Telangana,Delhi,0,0.47,13.1,Low,1111
301478,42,DMII,1683,7.1,5,298.2,3,Active,,,5,South,Wholesale Banking,Chennai,Karnataka,Telangana,West Bengal,0,3.86,27.47,Low,5555
658865,36,DMII,957,7.1,5,255.6,3,Active,,,5,West,Retail Banking Group,Mumbai,Uttar Pradesh,Tamil Nadu,Gujarat,0,2.32,47.67,Medium,9999
114652,40,MMII,126,7.1,7,284.0,2,Active,,,7,West,Retail Banking Group,Mumbai,Gujarat,Telangana,Uttar Pradesh,0,0.51,25.25,Low,9999
649708,37,MMII,486,7.2,7,266.4,3,Active,,,7,South,Retail Banking Group,Chennai,West Bengal,Tamil Nadu,Gujarat,0,0.72,29.9,Low,4444
854736,41,DMII,1264,4.4,5,180.4,3,Active,,,5,West,Transaction Banking,Mumbai,West Bengal,Karnataka,Telangana,0,2.26,47.54,Medium,3333
295531,42,MMII,424,7.9,7,331.8,3,Active,,,7,North,Retail Banking Group,New Delhi,Maharashtra,Tamil Nadu,Karnataka,0,0.68,38.46,Low,1111
416135,43,ALT,604,13.5,9,580.5,3,Active,,,0,South,Retail Banking Group,Chennai,Delhi,Karnataka,West Bengal,0,0.55,29.7,Low,2222
562537,53,AMII,1828,7.3,3,386.9,3,Active,,,2,North,Wholesale Banking,New Delhi,Gujarat,Karnataka,Maharashtra,76,8.09,75.44,High,8888
442521,25,ALT,349,13.2,9,330.0,3,Active,,,0,North,Retail Banking Group,New Delhi,Tamil Nadu,West Bengal,West Bengal,0,0.55,27.18,Low,1111
652405,53,MMI,9,3.7,6,196.1,1,Active,,,6,North,Retail Banking Group,New Delhi,Delhi,Uttar Pradesh,Delhi,0,0.44,41.24,Medium,8888
665243,56,MMII,673,9.8,7,548.8000000000001,3,Active,,,7,North,Wholesale Banking,New Delhi,Delhi,Karnataka,Tamil Nadu,0,0.81,34.79,Low,7777
126308,53,ALT,1903,13.4,9,710.2,3,Active,,,0,South,Retail Banking Group,Chennai,Gujarat,Uttar Pradesh,Maharashtra,0,1.41,25.92,Low,8888
823466,44,MMI,614,4.0,6,176.0,3,Active,,,6,North,Retail Banking Group,New Delhi,Uttar Pradesh,Gujarat,Maharashtra,0,0.84,46.93,Medium,6666
904870,36,DMII,1563,4.5,5,162.0,3,Active,,,5,North,Retail Banking Group,New Delhi,Maharashtra,Telangana,Karnataka,0,3.09,45.71,Medium,9999
927334,48,AMI,1202,1.0,2,48.0,3,Active,,,1,West,Credit,Mumbai,Maharashtra,Gujarat,Tamil Nadu,0,4.76,35.18,Low,3333
834875,32,AMII,736,2.6,3,83.2,3,Active,,,2,South,Retail Banking Group,Chennai,Maharashtra,Gujarat,Telangana,81,3.09,70.95,High,4444
419334,49,ALT,458,12.6,9,617.4,3,Active,,,0,South,Retail Banking Group,Chennai,Maharashtra,Telangana,Telangana,0,0.42,42.43,Medium,6666
135509,51,AMII,469,7.7,3,392.7,3,Active,,,2,East,Retail Banking Group,Kolkata,West Bengal,Gujarat,Telangana,1,2.93,44.24,Medium,8888
830512,29,MMI,586,7.1,6,205.9,3,Active,,,6,South,Operations Group,Chennai,Maharashtra,Gujarat,Maharashtra,0,1.27,34.89,Low,5555
864659,34,ALT,1802,12.7,9,431.8,3,Active,,,0,South,Retail Banking Group,Chennai,West Bengal,West Bengal,Gujarat,0,1.56,29.25,Low,3333
688461,44,AMI,1932,3.5,2,154.0,3,Active,,,1,East,Retail Banking Group,Kolkata,West Bengal,Uttar Pradesh,Maharashtra,0,10.54,23.23,Low,6666
714761,34,CM,902,7.8,8,265.2,3,Active,,,3,South,Retail Banking Group,Chennai,Uttar Pradesh,Uttar Pradesh,Telangana,0,0.75,31.1,Low,4444
768344,33,DMI,1074,0.4,4,13.2,3,Active,,,4,South,Wholesale Banking,Chennai,Maharashtra,West Bengal,Telangana,0,2.3,28.66,Low,9999
151743,43,MMI,969,6.4,6,275.2,3,Active,,,6,South,Credit,Chennai,Karnataka,Maharashtra,Uttar Pradesh,0,1.38,33.35,Low,3333
735676,53,ALT,1245,10.5,9,556.5,3,Active,,,0,South,Retail Banking Group,Chennai,Tamil Nadu,Gujarat,Maharashtra,0,0.65,31.11,Low,4444
874716,33,ALT,1602,10.6,9,349.8,3,Active,,,0,East,Retail Banking Group,Kolkata,Delhi,Telangana,Gujarat,0,1.14,34.1,Low,7777
916363,24,DMII,593,1.9,5,45.599999999999994,3,Active,,,5,South,Retail Banking Group,Chennai,West Bengal,Gujarat,Karnataka,0,1.33,27.73,Low,7777
181450,37,SO,282,1.4,1,81.4,3,Active,,,8,South,Retail Banking Group,Chennai,Gujarat,Telangana,West Bengal,0,3.94,20.46,Low,4444
339542,22,AMII,579,2.5,3,55.0,3,Active,,,2,East,Retail Banking Group,Kolkata,Gujarat,Gujarat,Karnataka,1,3.06,63.7,Medium,6666
123653,45,MMII,1309,9.0,7,405.0,3,Active,,,7,West,Credit,Mumbai,Tamil Nadu,Uttar Pradesh,Uttar Pradesh,0,1.48,38.94,Low,3333
809231,57,CM,1407,8.5,8,484.5,3,Active,,,3,North,Retail Banking Group,New Delhi,Gujarat,Uttar Pradesh,West Bengal,0,0.89,48.29,Medium,6666
786155,36,ALT,420,11.0,9,396.0,3,Active,,,0,West,Credit,Mumbai,Karnataka,West Bengal,Uttar Pradesh,0,0.43,25.25,Low,2222
250122,35,CM,306,9.0,8,315.0,3,Active,,,3,East,Transaction Banking,Kolkata,Gujarat,Telangana,Uttar Pradesh,0,0.5,34.32,Low,8888
599694,41,ALT,50,12.2,9,500.2,2,Active,,,0,North,Operations Group,New Delhi,Delhi,Tamil Nadu,Karnataka,0,0.32,28.82,Low,2222
593611,35,MMI,1506,3.0,6,105.0,3,Active,,,6,East,Retail Banking Group,Kolkata,Delhi,Telangana,Tamil Nadu,0,1.81,47.04,Medium,7777
775949,24,CM,1358,8.8,8,211.2,3,Active,,,3,East,Retail Banking Group,Kolkata,West Bengal,Gujarat,Uttar Pradesh,0,1.33,48.46,Medium,9999
759930,52,MMI,387,7.3,6,379.6,3,Active,,,6,South,Retail Banking Group,Chennai,Maharashtra,Telangana,West Bengal,0,0.82,36.9,Low,1111
121827,50,CM,1943,8.2,8,409.99999999999994,3,Active,,,3,North,Transaction Banking,New Delhi,Uttar Pradesh,Uttar Pradesh,Gujarat,0,1.48,35.29,Low,8888
147659,35,MMI,1259,0.6,6,21.0,3,Active,,,6,South,Retail Banking Group,Chennai,Karnataka,Uttar Pradesh,West Bengal,0,1.22,38.27,Low,7777
796295,30,MMI,1884,4.6,6,138.0,3,Active,,,6,North,Transaction Banking,New Delhi,West Bengal,Tamil Nadu,Telangana,0,2.96,42.71,Medium,6666
803482,26,MMII,1355,7.0,7,182.0,3,Active,,,7,East,Wholesale Banking,Kolkata,Karnataka,West Bengal,Delhi,0,1.66,48.31,Medium,6666
545315,39,SO,416,0.5,1,159.9,3,Active,,,8,East,Retail Banking Group,Kolkata,Maharashtra,Uttar Pradesh,Gujarat,0,4.0,11.25,Low,6666
153823,34,SO,626,1.4,1,217.6,3,Active,,,8,West,Retail Banking Group,Mumbai,Gujarat,Gujarat,Telangana,0,5.37,35.49,Low,9999
108807,38,SO,92,1.4,1,98.8,2,Active,,,8,North,Credit,New Delhi,Gujarat,Maharashtra,West Bengal,0,3.35,11.43,Low,2222
832295,50,AMII,1691,7.2,3,360.0,3,Active,,,2,South,Retail Banking Group,Chennai,Uttar Pradesh,West Bengal,Karnataka,21,7.49,60.73,Medium,1111
639258,31,DMII,1775,0.7,5,21.7,3,Active,,,5,West,Credit,Mumbai,Maharashtra,Telangana,Maharashtra,0,2.9,27.2,Low,6666
566119,22,AMII,1861,0.4,3,8.8,3,Active,,,2,West,Wholesale Banking,Mumbai,West Bengal,Gujarat,Maharashtra,10,7.18,56.5,Medium,8888
340073,22,AMI,293,1.4,2,30.8,3,Active,,,1,West,Retail Banking Group,Mumbai,Uttar Pradesh,West Bengal,Delhi,0,3.27,12.61,Low,3333
637852,41,ALT,645,14.6,9,598.6,3,Active,,,0,South,Retail Banking Group,Chennai,Maharashtra,Karnataka,Uttar Pradesh,0,0.64,38.57,Low,1111
875665,27,DMI,348,1.6,4,43.2,3,Active,,,4,West,Transaction Banking,Mumbai,Tamil Nadu,Gujarat,Maharashtra,0,1.51,19.07,Low,9999
214641,40,CM,1655,6.1,8,244.0,3,Active,,,3,South,Credit,Chennai,Delhi,West Bengal,Karnataka,0,1.12,40.61,Medium,1111
136120,29,AMII,1392,4.4,3,127.6,3,Active,,,2,West,Operations Group,Mumbai,Uttar Pradesh,Gujarat,West Bengal,16,6.19,62.43,Medium,3333
295262,52,CM,1241,5.6,8,291.2,3,Active,,,3,South,Retail Banking Group,Chennai,Uttar Pradesh,Tamil Nadu,Uttar Pradesh,0,0.66,34.15,Low,8888
820589,25,MMII,1712,9.8,7,245.0,3,Active,,,7,East,Wholesale Banking,Kolkata,West Bengal,Karnataka,Delhi,0,2.8,36.77,Low,3333
315060,37,AMII,529,4.5,3,166.5,3,Active,,,2,East,Credit,Kolkata,Karnataka,Telangana,Uttar Pradesh,71,2.85,75.4,High,4444
542712,26,ALT,1714,12.5,9,325.0,3,Active,,,0,East,Credit,Kolkata,Tamil Nadu,Uttar Pradesh,Gujarat,0,1.58,25.44,Low,8888
660111,46,MMII,1317,8.3,7,381.8,3,Active,,,7,East,Retail Banking Group,Kolkata,West Bengal,Karnataka,Tamil Nadu,0,1.39,38.09,Low,1111
310853,33,DMI,292,6.9,4,227.7,3,Active,,,4,East,Retail Banking Group,Kolkata,Maharashtra,Tamil Nadu,Gujarat,0,2.03,31.57,Low,6666
147845,24,ALT,1726,12.7,9,304.8,3,Active,,,0,West,Retail Banking Group,Mumbai,Maharashtra,Tamil Nadu,West Bengal,0,1.66,28.49,Low,1111
579693,26,CM,841,9.1,8,236.6,3,Active,,,3,West,Retail Banking Group,Mumbai,Maharashtra,West Bengal,Maharashtra,0,0.87,40.12,Medium,1111
328901,28,AMI,1973,6.1,2,170.8,3,Active,,,1,West,Credit,Mumbai,Maharashtra,Gujarat,Tamil Nadu,0,15.54,38.17,Low,8888
586519,49,MMI,1389,0.6,6,29.4,3,Active,,,6,South,Wholesale Banking,Chennai,Karnataka,Gujarat,Delhi,0,1.14,30.7,Low,4444
571046,48,MMI,341,7.4,6,355.2,3,Active,,,6,South,Retail Banking Group,Chennai,Tamil Nadu,Telangana,Gujarat,0,0.84,32.02,Low,1111
277727,42,MMI,1413,6.3,6,264.6,3,Active,,,6,South,Retail Banking Group,Chennai,Gujarat,West Bengal,West Bengal,0,1.99,52.32,Medium,7777
700571,40,DMII,1669,0.2,5,8.0,3,Active,,,5,South,Retail Banking Group,Chennai,Delhi,West Bengal,Uttar Pradesh,0,2.29,24.2,Low,5555
460042,24,MMII,1787,9.9,7,237.6,3,Active,,,7,East,Retail Banking Group,Kolkata,Karnataka,Gujarat,West Bengal,0,3.03,22.56,Low,5555
325007,48,MMII,770,8.4,7,403.2,3,Active,,,7,East,Wholesale Banking,Kolkata,Karnataka,Karnataka,Delhi,0,0.87,53.85,Medium,1111
121052,54,MMII,735,7.1,7,383.4,3,Active,,,7,East,Retail Banking Group,Kolkata,Gujarat,Tamil Nadu,Telangana,0,0.71,45.22,Medium,6666
473721,45,AMII,1587,4.9,3,220.5,3,Active,,,2,North,Wholesale Banking,New Delhi,Gujarat,Delhi,Delhi,74,6.18,73.67,High,9999
442231,22,SO,1699,0.2,1,50.599999999999994,3,Active,,,8,West,Retail Banking Group,Mumbai,Delhi,Uttar Pradesh,Uttar Pradesh,0,12.77,48.84,Medium,9999
658795,55,DMII,1914,1.2,5,66.0,3,Active,,,5,South,Retail Banking Group,Chennai,Delhi,Gujarat,Telangana,0,2.51,31.6,Low,8888
792132,23,DMI,140,3.0,4,69.0,2,Active,,,4,South,Retail Banking Group,Chennai,Gujarat,Uttar Pradesh,Tamil Nadu,0,1.5,32.99,Low,5555
721738,30,CM,252,7.7,8,231.0,3,Active,,,3,East,Wholesale Banking,Kolkata,Maharashtra,Tamil Nadu,Delhi,0,0.46,19.73,Low,1111
265048,47,SO,1833,1.0,1,141.0,3,Active,,,8,South,Retail Banking Group,Chennai,Karnataka,Delhi,West Bengal,0,11.26,51.53,Medium,9999
683991,43,SO,1051,1.4,1,154.8,3,Active,,,8,South,Retail Banking Group,Chennai,West Bengal,Karnataka,Gujarat,0,6.72,24.11,Low,1111
707515,54,MMI,1844,2.6,6,140.4,3,Active,,,6,West,Retail Banking Group,Mumbai,Delhi,Telangana,Tamil Nadu,0,1.82,24.54,Low,8888
614966,31,DMI,249,7.9,4,244.9,3,Active,,,4,East,Operations Group,Kolkata,Delhi,Gujarat,Karnataka,0,2.17,16.18,Low,5555
171775,48,AMI,989,5.2,2,249.6,3,Active,,,1,West,Retail Banking Group,Mumbai,Gujarat,Karnataka,Tamil Nadu,0,5.54,38.04,Low,3333
231200,44,MMII,890,6.0,7,264.0,3,Active,,,7,North,Wholesale Banking,New Delhi,Tamil Nadu,Uttar Pradesh,Gujarat,0,0.84,22.0,Low,7777
787130,40,SO,1636,1.7,1,304.0,3,Active,,,8,North,Wholesale Banking,New Delhi,West Bengal,Uttar Pradesh,Maharashtra,0,11.08,32.15,Low,7777
409388,46,SO,1617,1.8,1,82.8,3,Active,,,8,North,Transaction Banking,New Delhi,West Bengal,Uttar Pradesh,West Bengal,0,10.27,34.08,Low,9999
793741,42,ALT,1779,12.9,9,541.8000000000001,3,Active,,,0,East,Operations Group,Kolkata,Delhi,Telangana,Delhi,0,1.41,39.16,Low,7777
416550,49,SO,64,0.8,1,220.5,2,Active,,,8,South,Wholesale Banking,Chennai,Maharashtra,West Bengal,Karnataka,0,2.73,34.66,Low,3333
534346,54,ALT,1154,11.6,9,626.4,3,Active,,,0,East,Transaction Banking,Kolkata,Tamil Nadu,West Bengal,Uttar Pradesh,0,0.65,44.28,Medium,1111
545843,43,AMI,172,5.4,2,232.2,2,Active,,,1,East,Retail Banking Group,Kolkata,West Bengal,Delhi,West Bengal,0,3.12,15.08,Low,8888
904978,48,SO,315,1.6,1,120.0,3,Active,,,8,South,Retail Banking Group,Chennai,Delhi,West Bengal,Maharashtra,0,3.59,31.51,Low,3333
645093,40,AMII,1218,6.8,3,272.0,3,Active,,,2,West,Credit,Mumbai,West Bengal,Uttar Pradesh,West Bengal,0,5.67,58.37,Medium,8888
201429,50,DMII,363,5.3,5,265.0,3,Active,,,5,North,Retail Banking Group,New Delhi,Uttar Pradesh,Karnataka,Karnataka,0,1.04,29.48,Low,8888
874360,25,AMII,1718,0.2,3,5.0,3,Active,,,2,West,Retail Banking Group,Mumbai,Tamil Nadu,Maharashtra,Tamil Nadu,18,6.11,67.9,Medium,5555
761220,45,ALT,1567,13.5,9,607.5,3,Active,,,0,North,Retail Banking Group,New Delhi,Tamil Nadu,Uttar Pradesh,West Bengal,0,1.19,31.62,Low,1111
795316,34,CM,1934,7.6,8,258.4,3,Active,,,3,East,Retail Banking Group,Kolkata,Uttar Pradesh,Maharashtra,Karnataka,0,1.71,39.95,Low,7777
378786,23,CM,823,9.7,8,223.1,3,Active,,,3,North,Retail Banking Group,New Delhi,Karnataka,West Bengal,Karnataka,0,0.93,54.32,Medium,5555
764544,37,DMII,1777,7.2,5,266.4,3,Active,,,5,East,Retail Banking Group,Kolkata,Uttar Pradesh,Karnataka,Delhi,0,4.45,41.58,Medium,8888
429422,48,DMI,746,1.7,4,81.6,3,Active,,,4,West,Wholesale Banking,Mumbai,Gujarat,Tamil Nadu,Gujarat,0,1.62,28.16,Low,9999
601543,32,AMII,197,8.0,3,256.0,2,Active,,,2,East,Retail Banking Group,Kolkata,Gujarat,Uttar Pradesh,Karnataka,0,3.04,44.94,Medium,7777
931068,37,AMII,1858,4.9,3,181.3,3,Active,,,2,West,Credit,Mumbai,Delhi,Karnataka,Karnataka,7,8.37,66.46,Medium,7777
277048,26,SO,444,1.3,1,184.6,3,Active,,,8,South,Retail Banking Group,Chennai,Tamil Nadu,Uttar Pradesh,Delhi,0,5.09,31.35,Low,1111
730239,44,AMI,893,2.3,2,101.2,3,Active,,,1,South,Retail Banking Group,Chennai,Karnataka,Delhi,West Bengal,0,4.32,30.06,Low,4444
444467,32,MMII,1997,7.4,7,236.8,3,Active,,,7,South,Wholesale Banking,Chennai,Karnataka,Tamil Nadu,Uttar Pradesh,0,2.68,35.55,Low,2222
789673,44,DMII,1580,3.4,5,149.6,3,Active,,,5,East,Transaction Banking,Kolkata,West Bengal,Maharashtra,Gujarat,0,2.6,47.31,Medium,2222
363327,43,DMI,275,2.3,4,98.9,3,Active,,,4,South,Retail Banking Group,Chennai,West Bengal,Tamil Nadu,Gujarat,0,1.23,25.84,Low,2222
229125,51,MMI,1953,6.9,6,351.9,3,Active,,,6,North,Wholesale Banking,New Delhi,Uttar Pradesh,Uttar Pradesh,Telangana,0,2.88,54.56,Medium,4444
987322,51,ALT,1673,11.9,9,606.9,3,Active,,,0,West,Retail Banking Group,Mumbai,Karnataka,Maharashtra,Gujarat,0,1.06,46.67,Medium,1111
959749,26,ALT,1227,12.8,9,332.8,3,Active,,,0,West,Retail Banking Group,Mumbai,Uttar Pradesh,West Bengal,Tamil Nadu,0,1.08,49.19,Medium,4444
225585,23,DMI,720,2.9,4,66.7,3,Active,,,4,North,Credit,New Delhi,Uttar Pradesh,Karnataka,Tamil Nadu,0,2.38,20.17,Low,2222
398459,57,MMI,694,1.8,6,102.6,3,Active,,,6,East,Retail Banking Group,Kolkata,West Bengal,Delhi,Telangana,0,0.64,30.89,Low,5555
520624,28,DMI,1508,3.9,4,109.2,3,Active,,,4,East,Retail Banking Group,Kolkata,Tamil Nadu,West Bengal,Karnataka,0,4.55,34.04,Low,3333
879564,41,DMI,1051,2.3,4,94.3,3,Active,,,4,West,Credit,Mumbai,Uttar Pradesh,Karnataka,Telangana,0,2.37,34.46,Low,8888
197844,43,DMII,1305,2.7,5,116.1,3,Active,,,5,South,Retail Banking Group,Chennai,Maharashtra,West Bengal,Telangana,0,2.0,34.67,Low,4444
240227,34,CM,1590,7.7,8,261.8,3,Active,,,3,East,Credit,Kolkata,Tamil Nadu,Tamil Nadu,West Bengal,0,1.3,35.66,Low,1111
126289,50,MMI,1327,4.3,6,215.0,3,Active,,,6,East,Retail Banking Group,Kolkata,Karnataka,Gujarat,Gujarat,0,1.43,34.79,Low,1111
136276,37,DMI,284,4.3,4,159.1,3,Active,,,4,North,Retail Banking Group,New Delhi,Karnataka,Maharashtra,Telangana,0,1.56,9.14,Low,3333
845428,26,MMI,462,1.7,6,44.2,3,Active,,,6,North,Retail Banking Group,New Delhi,Uttar Pradesh,Tamil Nadu,Telangana,0,0.78,22.52,Low,9999
819674,37,DMI,662,5.1,4,188.7,3,Active,,,4,South,Retail Banking Group,Chennai,Tamil Nadu,West Bengal,Tamil Nadu,0,2.26,26.3,Low,7777
571681,39,CM,1363,8.0,8,312.0,3,Active,,,3,East,Operations Group,Kolkata,West Bengal,Delhi,Delhi,0,1.04,46.0,Medium,2222
690398,53,MMII,1133,6.5,7,344.5,3,Active,,,7,East,Operations Group,Kolkata,West Bengal,Karnataka,West Bengal,0,0.95,45.25,Medium,9999
135623,48,CM,498,6.0,8,288.0,3,Active,,,3,North,Operations Group,New Delhi,Gujarat,Delhi,Uttar Pradesh,0,0.39,21.83,Low,2222
